employee_id,position_ID
1067,1064
1134,1030
1201,1097
1268,1020
1335,1058
1402,1004
1469,1008
1536,1096
1603,1043
1670,1091
1737,1051
1804,1028
1871,1074
1938,1066
2005,1038
2072,1045
2139,1023
2206,1005
2273,1098
2340,1087
2407,1081
2474,1095
2541,1062
2608,1033
2675,1071
2742,1073
2809,1059
2876,1048
2943,1050
3010,1022
3077,1090
3144,1080
3211,1072
3278,1083
3345,1019
3412,1078
3479,1082
3546,1092
3613,1068
3680,1094
3747,1042
3814,1026
3881,1002
3948,1041
4015,1014
4082,1006
4149,1010
4216,1063
4283,1070
4350,1029
4417,1039
4484,1054
4551,1037
4618,1057
4685,1086
4752,1099
4819,1049
4886,1024
4953,1055
5020,1012
5087,1016
5154,1067
5221,1032
5288,1077
5355,1009
5422,1088
5489,1034
5556,1021
5623,1036
5690,1018
5757,1031
5824,1003
5891,1040
5958,1056
6025,1100
6092,1060
6159,1075
6226,1084
6293,1001
6360,1053
6427,1061
6494,1089
6561,1007
6628,1027
6695,1035
6762,1015
6829,1069
6896,1011
6963,1093
7030,1052
7097,1076
7164,1079
7231,1013
7298,1046
7365,1017
7432,1085
7499,1065
7566,1047
7633,1044
7700,1025
